Name,Fold_Change,p_value
hsa-miR-2277-5p,0.185766668729484,8.58067179107035e-10
hsa-miR-3677-3p,0.410094364818636,1.01494651411723e-09
hsa-miR-942-5p,0.424727780056225,1.49838289637456e-09
hsa-miR-203a-3p,3.35800358951333,1.98238665381447e-09
hsa-miR-411-5p,3.00071969062951,2.17038748969192e-09
hsa-miR-335-5p,2.67592773787436,2.46421331373557e-09
hsa-miR-376c-3p,3.62846285116306,3.48061551645293e-09
hsa-miR-4484,4.11608313238579,3.94277170039694e-09
hsa-miR-130b-3p,0.423546607117815,4.36930734886298e-09
hsa-miR-330-3p,0.492435934781519,6.70635724038012e-09
hsa-miR-155-3p,0.0423562981281345,6.90076201573778e-09
hsa-miR-3065-5p,3.03233921779736,7.24855949204667e-09
hsa-miR-135a-5p,3.10099783539553,7.3761345474027e-09
hsa-miR-122-5p,0.0087677290314255,7.85074593721825e-09
hsa-miR-1249-3p,0.432070980660723,9.75845592060181e-09
hsa-miR-337-3p,2.16184426362324,1.07296032321369e-08
hsa-miR-497-3p,0.272135496683703,2.01500175865933e-08
hsa-miR-3912-3p,0.417342493321787,2.23649463541791e-08
hsa-miR-874-5p,3.06115656810415,3.19407191200671e-08
hsa-miR-204-5p,2.44180385758912,3.26198108139762e-08
hsa-miR-934,350.214456594421,3.85574287564546e-08
hsa-miR-184,50.539296625971,3.97900641965064e-08
hsa-miR-550a-3p,0.316016119094017,4.6012889414397e-08
hsa-miR-218-1-3p,3.74912660540053,4.98581850789102e-08
hsa-miR-16-2-3p,0.434477641456952,6.56602156891734e-08
hsa-miR-4746-5p,0.312862408012663,6.63744435391243e-08
hsa-miR-550a-5p,0.473929486729243,6.87742498895092e-08
hsa-miR-4638-3p,0.389131408301308,7.0272669276522e-08
hsa-miR-4652-5p,0.0666091318507697,7.14969904377477e-08
hsa-miR-1277-3p,0.452033736981836,8.02188278613739e-08
hsa-miR-3170,0.416590657201045,9.00137645120734e-08
hsa-miR-503-3p,0.344438860549553,1.02258592192485e-07
hsa-miR-215-5p,0.297971950459941,1.3052472660937e-07
hsa-miR-625-3p,0.36409029589667,1.40508208664908e-07
hsa-miR-5586-5p,0.282540057989242,1.70148727790964e-07
hsa-miR-760,0.161423421301456,1.72400346560559e-07
hsa-miR-33a-5p,3.20114630285787,1.86422049263152e-07
hsa-miR-363-3p,3.24105598874809,2.60417386417793e-07
hsa-miR-539-5p,2.60045279038366,2.85348842707893e-07
hsa-miR-3615,0.299121766298005,3.36315137081124e-07
hsa-miR-146a-5p,0.488577562347062,3.61642769928445e-07
hsa-miR-224-5p,0.110786946119208,3.92830009862998e-07
hsa-miR-758-3p,2.19325644357509,4.46025490862944e-07
hsa-miR-503-5p,0.40238289524599,5.80344025399042e-07
hsa-miR-146b-5p,0.283178174355197,6.74519035475819e-07
hsa-miR-485-3p,2.69704500965848,7.76780252925426e-07
hsa-miR-199b-5p,3.75045720547678,8.51699370065571e-07
hsa-miR-149-5p,2.37860981606682,8.7183452735485e-07
hsa-miR-188-3p,2.20419520588407,1.02139623518891e-06
hsa-miR-150-3p,0.416532797187144,1.07746264735379e-06
hsa-miR-323b-3p,3.696088705415,1.64233989339951e-06
hsa-miR-654-3p,2.47467180614152,1.67218269195181e-06
hsa-miR-493-3p,2.30848077274488,1.88600393187822e-06
hsa-miR-487b-3p,2.59228338313049,2.07293154900086e-06
hsa-miR-618,0.358965418823956,2.14003285834064e-06
hsa-miR-758-5p,2.28762298610278,2.6000395120889e-06
hsa-miR-216b-5p,28.3792259819071,2.91574611547334e-06
hsa-miR-362-3p,2.0740071649521,2.96674046774681e-06
hsa-miR-1251-5p,2.74605596418788,3.02775250145181e-06
hsa-miR-323a-3p,3.71737868168568,4.90957111596182e-06
hsa-miR-378d,0.496002509057984,5.1473044521762e-06
hsa-miR-33b-5p,0.435792392150708,6.33391703271054e-06
hsa-miR-514a-5p,27.6802097434502,6.6674690000646e-06
hsa-miR-409-5p,2.35007089545439,9.12582574331505e-06
