GeneSymbol,miRNA,mirDIPscore,r_values, p_values,false_discovery_rate
WDR47,hsa-miR-130b-3p,0.917909183513991,-0.182467704093178,3.39159251555249e-05,0.000400941134554471
ZEB1,hsa-miR-200c-3p,0.91774624478501,-0.120720019166774,0.00634225194430194,0.0298301855150004
PLEKHA1,hsa-miR-21-5p,0.917617234240606,-0.216624631682204,7.85917008334528e-07,1.54594933139817e-05
CBX1,hsa-miR-200a-3p,0.917170761193625,-0.124951300327244,0.00471396748456445,0.0236008517936662
OTUD4,hsa-miR-106b-5p,0.917060026856152,-0.162214399433781,0.000234407019286855,0.00203491847026382
SERTAD2,hsa-miR-106b-5p,0.916787875399049,-0.111480280412643,0.0117602189388939,0.0486235610962634
SHANK2,hsa-miR-130b-3p,0.916735809183122,-0.247191834727549,1.54312720703734e-08,4.64380576369992e-07
FBXW11,hsa-miR-106b-5p,0.916603270350224,-0.20064472401712,4.95704436277428e-06,7.7258960127091e-05
C16orf70,hsa-miR-130b-3p,0.916173927992575,-0.160880810924038,0.000264212160977,0.00224389595982168
RAP2C,hsa-miR-204-5p,0.916085878400322,-0.188217015900183,1.88236763557119e-05,0.00024249494656989
CDK17,hsa-miR-200b-3p,0.915427687983174,-0.205014270563791,3.0386642653846e-06,5.07772371054394e-05
BACH1,hsa-miR-135a-5p,0.914705387664845,-0.113234673205462,0.0104925460272059,0.0444849606678805
DHX15,hsa-miR-1-3p,0.91468325878595,-0.136170253793446,0.00205629480137269,0.0120881109623146
BECN1,hsa-miR-30b-5p,0.91467221220437,-0.216399996722075,8.07334284224627e-07,1.58321323014517e-05
NPTN,hsa-miR-25-3p,0.914453321650762,-0.131137464882117,0.00300665246751557,0.0164609533210963
SEC24C,hsa-miR-33a-5p,0.914300449124463,-0.180818427209012,4.00242961588923e-05,0.000461275562319248
RHOB,hsa-miR-30b-5p,0.914276595986656,-0.139112927189804,0.00163701750795624,0.0100659417517536
CRIM1,hsa-miR-106b-5p,0.914205927067948,-0.266293752915597,9.98413309790826e-10,3.89130872295194e-08
YTHDF3,hsa-miR-106b-5p,0.913669629426129,-0.175111822468395,7.01908966331177e-05,0.000742927048907947
RAB5B,hsa-miR-106b-5p,0.913478597090027,-0.37203528501168,3.46253530616381e-18,4.15878771463724e-16
MTMR3,hsa-miR-106b-5p,0.913458483385181,-0.142706454393819,0.00123180602519955,0.00798966847768757
NEDD4L,hsa-miR-93-5p,0.913344048627772,-0.173337370715991,8.32911598653169e-05,0.000856508924043098
AMOTL2,hsa-miR-30b-5p,0.913257045937594,-0.111263534867147,0.0119258769341502,0.0491478915440393
ADAM9,hsa-miR-30b-5p,0.913149211252997,-0.173727625466109,8.02262647092978e-05,0.000829774895270066
WWP1,hsa-miR-21-5p,0.913133999305473,-0.300511460821892,4.18809968267367e-12,2.44627284631875e-10
LURAP1L,hsa-miR-16-5p,0.91289188368945,-0.137892650350206,0.00180032167580918,0.0108740788253887
PUM1,hsa-miR-142-3p,0.912733555511053,-0.144236402220922,0.00108916672395692,0.00723659449063037
SKI,hsa-miR-106b-5p,0.912606252078066,-0.142051644779865,0.00129795615936913,0.00833821319736877
ZCCHC24,hsa-miR-204-5p,0.912573648011628,-0.228355484974762,1.85432132009767e-07,4.29957357350105e-06
DPYSL2,hsa-miR-130b-3p,0.912163624647402,-0.207321798780139,2.3365603456795e-06,4.03971756746348e-05
AP3D1,hsa-miR-1-3p,0.911636683656934,-0.122688813507168,0.00553047816202944,0.0268129014317541
CPEB2,hsa-miR-153-3p,0.911620117117557,-0.131438629380906,0.00294011527184243,0.0161641723665614
SEC23A,hsa-miR-429,0.911523050689002,-0.272737755936058,3.76914293032467e-10,1.59653793457404e-08
LSM14A,hsa-miR-138-5p,0.911461336473515,-0.141099739317173,0.00139996337374625,0.00887045617819493
EDA,hsa-miR-16-5p,0.911427980507463,-0.154890337012772,0.000447195191324627,0.00346700529563716
ANO3,hsa-miR-16-5p,0.911369666268632,-0.152356814376992,0.000555552667241639,0.00414211237710865
ELF2,hsa-miR-21-5p,0.91135955559439,-0.204370805819965,3.26791957717237e-06,5.40520554109656e-05
DCUN1D4,hsa-miR-142-3p,0.911190098618635,-0.1770450637881,5.81409927577277e-05,0.000632488908318545
PTP4A1,hsa-miR-30b-5p,0.911171136035342,-0.175247354347289,6.92746697911416e-05,0.000734515348078773
DYNLL2,hsa-miR-130b-3p,0.910749400860361,-0.19172130602362,1.30325007266787e-05,0.000177126168329794
SETD3,hsa-miR-16-5p,0.910669307090557,-0.111168245006819,0.0119993571873209,0.0493747470168897
YOD1,hsa-miR-21-5p,0.910341464357767,-0.185513321090778,2.488391258809e-05,0.000307008798187163
